epoch,train_loss,val_loss,val_accuracy,learning_rate
1,3.5735,2.4043,10.7,0.1
2,2.3105,2.3015,9.61,0.1
3,2.3001,2.2897,12.05,0.1
4,2.2901,2.2698,16.15,0.1
5,2.2134,2.1336,19.39,0.1
6,2.1798,2.1483,20.0,0.1
7,2.1569,2.1265,21.35,0.1
8,2.1146,2.0408,28.38,0.1
9,2.0902,2.018,28.51,0.1
10,2.057,1.9625,29.83,0.1
11,2.0008,1.8937,33.3,0.1
12,1.9463,1.7968,37.99,0.1
13,1.8906,1.754,38.9,0.1
14,1.8374,1.721,39.9,0.1
15,1.7692,1.621,43.9,0.1
16,1.6986,1.5725,44.64,0.1
17,1.6143,1.455,51.54,0.1
18,1.5321,1.4369,51.36,0.1
19,1.4513,1.2374,58.39,0.1
20,1.3766,1.2159,59.77,0.1
21,1.328,1.2271,59.85,0.1
22,1.2809,1.3412,56.66,0.1
23,1.2373,1.0805,63.87,0.1
24,1.2115,1.0822,64.74,0.1
25,1.1602,0.9879,68.46,0.1
26,1.1339,0.9466,69.2,0.1
27,1.0982,0.9048,70.19,0.1
28,1.0795,1.0146,66.62,0.1
29,1.0516,0.9824,66.85,0.1
30,1.0304,0.9515,68.94,0.1
31,1.0068,1.0215,67.06,0.1
32,1.0046,1.0161,67.18,0.1
33,0.9674,0.8373,72.33,0.1
34,0.9576,0.8798,71.59,0.1
35,0.9162,0.8917,71.44,0.1
36,0.9106,1.059,66.85,0.1
37,0.9015,0.7634,75.41,0.1
38,0.8924,0.7857,74.68,0.1
39,0.8626,0.8239,73.43,0.1
40,0.8434,0.9078,71.62,0.1
41,0.8469,0.8815,71.72,0.1
42,0.8237,0.9922,69.5,0.1
43,0.8178,0.6621,78.22,0.1
44,0.7978,0.6714,77.73,0.1
45,0.7907,0.759,75.62,0.1
46,0.771,0.6808,77.86,0.1
47,0.7493,0.6411,79.77,0.1
48,0.7335,0.6523,79.54,0.1
49,0.7533,0.6357,80.64,0.1
50,0.7208,0.7326,76.41,0.1
51,0.7291,0.657,78.9,0.1
52,0.7078,0.6522,79.31,0.1
53,0.6845,0.7778,75.62,0.1
54,0.6801,0.6502,80.31,0.1
55,0.6827,0.5801,81.12,0.1
56,0.6654,0.6173,80.05,0.1
57,0.6607,0.6715,79.39,0.1
58,0.6462,0.7848,75.06,0.1
59,0.6374,0.6013,80.56,0.1
60,0.6279,0.7333,76.97,0.1
61,0.6008,0.5938,81.61,0.1
62,0.6345,0.583,80.87,0.1
63,0.6206,0.6094,80.38,0.1
64,0.6032,0.5877,81.17,0.1
65,0.5935,0.5021,84.1,0.1
66,0.5791,0.7484,77.32,0.1
67,0.5853,0.5353,82.88,0.1
68,0.5592,0.578,81.15,0.1
69,0.558,0.5311,82.6,0.1
70,0.5705,0.5384,83.69,0.1
71,0.56,0.7071,77.48,0.1
72,0.5596,0.5592,81.53,0.1
73,0.5464,0.5564,82.85,0.1
74,0.5351,0.5806,82.01,0.1
75,0.5209,0.4648,85.02,0.1
76,0.5301,0.5098,83.69,0.1
77,0.5172,0.6095,80.33,0.1
78,0.5164,0.5754,82.39,0.1
79,0.5023,0.6058,81.22,0.1
80,0.5123,0.6881,78.17,0.1
81,0.4996,0.5968,80.76,0.1
82,0.4887,0.5083,83.95,0.1
83,0.4924,0.5472,82.52,0.1
84,0.4804,0.5918,82.01,0.1
85,0.4908,0.6109,81.45,0.1
86,0.4707,0.6335,80.97,0.1
87,0.422,0.399,87.06,0.01
88,0.3817,0.3854,87.54,0.01
89,0.3592,0.3924,87.54,0.01
90,0.3431,0.3835,87.82,0.01
