epoch,train_loss,val_loss,val_accuracy
1,3.0232,2.2984,15.64
2,2.2808,2.227,18.57
3,2.1933,2.1515,20.69
4,2.1403,2.0669,24.36
5,2.1066,2.0261,27.39
6,2.0791,1.9699,31.26
7,2.016,1.8998,35.72
8,1.9799,1.8442,35.92
9,1.9431,1.8058,37.58
10,1.8839,1.7012,41.61
11,1.8506,1.7034,42.17
12,1.7877,1.5578,47.13
13,1.7474,1.5633,47.08
14,1.6954,1.4411,53.1
15,1.6479,1.5166,48.54
16,1.6054,1.3392,56.25
17,1.5511,1.3843,54.78
18,1.4991,1.2569,58.45
19,1.4427,1.3914,53.3
20,1.4013,1.4386,54.32
21,1.3644,1.074,65.68
22,1.3177,0.9777,67.8
23,1.2613,0.9973,67.36
24,1.204,0.9253,70.8
25,1.1721,1.0977,64.36
26,1.1385,0.9362,69.32
27,1.1068,1.0409,65.43
28,1.0751,0.9218,70.09
29,1.0316,0.8526,71.62
30,0.9935,0.8523,72.2
31,1.0046,0.85,72.84
32,0.9649,0.7776,75.06
33,0.9418,1.1242,65.53
34,0.9405,0.7476,76.87
35,0.9039,0.7585,75.59
36,0.89,0.7367,75.39
37,0.8872,0.7427,76.46
38,0.8832,0.7444,75.06
39,0.8731,0.6971,76.97
40,0.8572,0.6814,77.73
41,0.8076,0.7318,75.75
42,0.8143,0.7884,74.96
43,0.8345,0.6816,77.99
44,0.8,0.92,71.92
45,0.7134,0.5096,83.44
46,0.6403,0.4978,83.39
47,0.6308,0.4995,83.72
48,0.6111,0.4951,83.62
49,0.6182,0.4896,83.39
50,0.6108,0.4725,84.23
51,0.591,0.4751,84.33
52,0.5915,0.4802,84.15
53,0.5819,0.4744,84.43
54,0.5821,0.4772,84.23
55,0.5677,0.4663,84.43
56,0.5766,0.4671,84.56
57,0.5494,0.4646,84.71
58,0.5625,0.4605,84.94
59,0.552,0.464,84.74
60,0.5612,0.4629,84.69
61,0.5682,0.4588,84.79
62,0.5567,0.4613,84.56
63,0.5642,0.4591,84.74
64,0.5576,0.4538,84.89
65,0.558,0.4586,84.87
66,0.5632,0.4583,84.94
67,0.5596,0.4562,84.94
68,0.5394,0.4557,85.15
69,0.5432,0.4563,85.07
70,0.5517,0.4564,85.02
71,0.5399,0.453,85.07
72,0.5379,0.4547,84.94
73,0.538,0.4529,84.97
74,0.546,0.4578,85.12
75,0.5449,0.4505,85.1
76,0.5416,0.4535,84.97
77,0.5375,0.4554,84.89
78,0.5563,0.4537,84.89
79,0.5388,0.4517,85.22
80,0.5419,0.4552,84.97
81,0.5445,0.4578,84.76
82,0.5631,0.4559,84.97
83,0.5546,0.4559,85.04
84,0.5492,0.4569,84.82
85,0.5387,0.4559,84.99
86,0.5426,0.4541,85.04
87,0.5461,0.4565,85.1
88,0.5566,0.4571,84.82
89,0.5514,0.459,85.04
90,0.5435,0.4572,84.82
91,0.5421,0.453,84.99
92,0.557,0.455,84.84
93,0.5416,0.4578,84.92
94,0.5339,0.4565,84.79
95,0.5492,0.455,84.76
96,0.5462,0.4562,84.99
97,0.5479,0.4544,84.99
98,0.5448,0.4572,84.97
99,0.5344,0.455,84.84
100,0.5439,0.4559,85.04
