==== JOB START : Mon 18 Aug 2025 07:38:47 PM KST ====
/data/clue9986/anaconda3/bin/python
Epoch [1/865], Train Loss: 2.0643, Validation Loss: 2.0706, Validation Accuracy: 28.92%
New best model saved at: ./models/best_model.pth with accuracy: 28.92%
Epoch [2/865], Train Loss: 1.6789, Validation Loss: 1.5980, Validation Accuracy: 45.15%
New best model saved at: ./models/best_model.pth with accuracy: 45.15%
Epoch [3/865], Train Loss: 1.4724, Validation Loss: 1.5841, Validation Accuracy: 47.62%
New best model saved at: ./models/best_model.pth with accuracy: 47.62%
Epoch [4/865], Train Loss: 1.3200, Validation Loss: 1.2873, Validation Accuracy: 56.89%
New best model saved at: ./models/best_model.pth with accuracy: 56.89%
Epoch [5/865], Train Loss: 1.1416, Validation Loss: 1.5830, Validation Accuracy: 52.92%
Epoch [6/865], Train Loss: 1.0161, Validation Loss: 1.2214, Validation Accuracy: 59.31%
New best model saved at: ./models/best_model.pth with accuracy: 59.31%
Epoch [7/865], Train Loss: 0.8939, Validation Loss: 1.1227, Validation Accuracy: 64.13%
New best model saved at: ./models/best_model.pth with accuracy: 64.13%
Epoch [8/865], Train Loss: 0.7983, Validation Loss: 1.4765, Validation Accuracy: 57.94%
Epoch [9/865], Train Loss: 0.7205, Validation Loss: 1.3367, Validation Accuracy: 59.24%
Epoch [10/865], Train Loss: 0.6216, Validation Loss: 1.2735, Validation Accuracy: 62.39%
Epoch [11/865], Train Loss: 0.5441, Validation Loss: 1.8487, Validation Accuracy: 53.94%
Epoch [12/865], Train Loss: 0.2975, Validation Loss: 1.0061, Validation Accuracy: 70.09%
New best model saved at: ./models/best_model.pth with accuracy: 70.09%
Epoch [13/865], Train Loss: 0.1925, Validation Loss: 1.0359, Validation Accuracy: 69.94%
Epoch [14/865], Train Loss: 0.1462, Validation Loss: 1.0822, Validation Accuracy: 69.48%
Epoch [15/865], Train Loss: 0.1167, Validation Loss: 1.0977, Validation Accuracy: 69.45%
Epoch [16/865], Train Loss: 0.0927, Validation Loss: 1.1506, Validation Accuracy: 69.27%
Epoch [17/865], Train Loss: 0.0730, Validation Loss: 1.1444, Validation Accuracy: 69.43%
Epoch [18/865], Train Loss: 0.0705, Validation Loss: 1.1379, Validation Accuracy: 69.10%
Epoch [19/865], Train Loss: 0.0686, Validation Loss: 1.1497, Validation Accuracy: 69.04%
Epoch [20/865], Train Loss: 0.0698, Validation Loss: 1.1538, Validation Accuracy: 68.82%
Epoch [21/865], Train Loss: 0.0644, Validation Loss: 1.1502, Validation Accuracy: 68.94%
Epoch [22/865], Train Loss: 0.0662, Validation Loss: 1.1503, Validation Accuracy: 69.07%
Epoch [23/865], Train Loss: 0.0646, Validation Loss: 1.1537, Validation Accuracy: 69.15%
Epoch [24/865], Train Loss: 0.0653, Validation Loss: 1.1486, Validation Accuracy: 69.10%
Epoch [25/865], Train Loss: 0.0656, Validation Loss: 1.1593, Validation Accuracy: 68.99%
Epoch [26/865], Train Loss: 0.0637, Validation Loss: 1.1536, Validation Accuracy: 68.94%
Epoch [27/865], Train Loss: 0.0639, Validation Loss: 1.1519, Validation Accuracy: 69.22%
Epoch [28/865], Train Loss: 0.0659, Validation Loss: 1.1588, Validation Accuracy: 69.20%
Epoch [29/865], Train Loss: 0.0646, Validation Loss: 1.1549, Validation Accuracy: 68.87%
Epoch [30/865], Train Loss: 0.0666, Validation Loss: 1.1536, Validation Accuracy: 69.43%
Epoch [31/865], Train Loss: 0.0647, Validation Loss: 1.1566, Validation Accuracy: 69.02%
Epoch [32/865], Train Loss: 0.0655, Validation Loss: 1.1485, Validation Accuracy: 69.20%
Epoch [33/865], Train Loss: 0.0651, Validation Loss: 1.1502, Validation Accuracy: 69.12%
Epoch [34/865], Train Loss: 0.0652, Validation Loss: 1.1535, Validation Accuracy: 69.22%
Epoch [35/865], Train Loss: 0.0656, Validation Loss: 1.1579, Validation Accuracy: 69.07%
Epoch [36/865], Train Loss: 0.0643, Validation Loss: 1.1546, Validation Accuracy: 69.27%
Epoch [37/865], Train Loss: 0.0658, Validation Loss: 1.1580, Validation Accuracy: 68.97%
Epoch [38/865], Train Loss: 0.0648, Validation Loss: 1.1503, Validation Accuracy: 68.97%
Epoch [39/865], Train Loss: 0.0657, Validation Loss: 1.1527, Validation Accuracy: 68.87%
Epoch [40/865], Train Loss: 0.0660, Validation Loss: 1.1549, Validation Accuracy: 68.97%
Epoch [41/865], Train Loss: 0.0662, Validation Loss: 1.1526, Validation Accuracy: 69.12%
Epoch [42/865], Train Loss: 0.0649, Validation Loss: 1.1555, Validation Accuracy: 68.94%
Epoch [43/865], Train Loss: 0.0647, Validation Loss: 1.1587, Validation Accuracy: 68.92%
Epoch [44/865], Train Loss: 0.0632, Validation Loss: 1.1540, Validation Accuracy: 69.07%
Epoch [45/865], Train Loss: 0.0647, Validation Loss: 1.1511, Validation Accuracy: 68.94%
Epoch [46/865], Train Loss: 0.0641, Validation Loss: 1.1511, Validation Accuracy: 69.15%
Epoch [47/865], Train Loss: 0.0650, Validation Loss: 1.1524, Validation Accuracy: 68.99%
Epoch [48/865], Train Loss: 0.0639, Validation Loss: 1.1526, Validation Accuracy: 68.89%
Epoch [49/865], Train Loss: 0.0630, Validation Loss: 1.1530, Validation Accuracy: 69.02%
Epoch [50/865], Train Loss: 0.0663, Validation Loss: 1.1584, Validation Accuracy: 69.15%
Epoch [51/865], Train Loss: 0.0663, Validation Loss: 1.1515, Validation Accuracy: 69.20%
Epoch [52/865], Train Loss: 0.0660, Validation Loss: 1.1587, Validation Accuracy: 69.20%
Epoch [53/865], Train Loss: 0.0636, Validation Loss: 1.1500, Validation Accuracy: 68.92%
Epoch [54/865], Train Loss: 0.0648, Validation Loss: 1.1525, Validation Accuracy: 69.15%
Epoch [55/865], Train Loss: 0.0662, Validation Loss: 1.1558, Validation Accuracy: 69.20%
Epoch [56/865], Train Loss: 0.0658, Validation Loss: 1.1519, Validation Accuracy: 68.94%
Epoch [57/865], Train Loss: 0.0627, Validation Loss: 1.1520, Validation Accuracy: 68.94%
Epoch [58/865], Train Loss: 0.0639, Validation Loss: 1.1507, Validation Accuracy: 68.79%
Epoch [59/865], Train Loss: 0.0659, Validation Loss: 1.1505, Validation Accuracy: 68.87%
Epoch [60/865], Train Loss: 0.0646, Validation Loss: 1.1503, Validation Accuracy: 68.89%
Epoch [61/865], Train Loss: 0.0663, Validation Loss: 1.1493, Validation Accuracy: 69.27%
Epoch [62/865], Train Loss: 0.0641, Validation Loss: 1.1527, Validation Accuracy: 69.17%
Epoch [63/865], Train Loss: 0.0640, Validation Loss: 1.1521, Validation Accuracy: 69.10%
Epoch [64/865], Train Loss: 0.0660, Validation Loss: 1.1508, Validation Accuracy: 68.89%
Epoch [65/865], Train Loss: 0.0651, Validation Loss: 1.1571, Validation Accuracy: 69.15%
Epoch [66/865], Train Loss: 0.0651, Validation Loss: 1.1551, Validation Accuracy: 69.12%
Epoch [67/865], Train Loss: 0.0676, Validation Loss: 1.1542, Validation Accuracy: 69.04%
Epoch [68/865], Train Loss: 0.0636, Validation Loss: 1.1479, Validation Accuracy: 69.15%
Epoch [69/865], Train Loss: 0.0656, Validation Loss: 1.1522, Validation Accuracy: 68.97%
Epoch [70/865], Train Loss: 0.0644, Validation Loss: 1.1549, Validation Accuracy: 68.94%
Epoch [71/865], Train Loss: 0.0658, Validation Loss: 1.1569, Validation Accuracy: 68.99%
Epoch [72/865], Train Loss: 0.0642, Validation Loss: 1.1565, Validation Accuracy: 68.92%
Epoch [73/865], Train Loss: 0.0654, Validation Loss: 1.1563, Validation Accuracy: 69.04%
Epoch [74/865], Train Loss: 0.0651, Validation Loss: 1.1571, Validation Accuracy: 69.20%
Epoch [75/865], Train Loss: 0.0647, Validation Loss: 1.1528, Validation Accuracy: 69.07%
Epoch [76/865], Train Loss: 0.0647, Validation Loss: 1.1513, Validation Accuracy: 69.07%
