image_size,alpha,total_params,total_params_M,total_mult_adds,total_mult_adds_M, accuracy
128,0.25,215642.0,0.215642,13322090,13.32209,86.49
128,0.5,823722.0,0.823722,48664266,48.664266,87.44
128,0.75,1824250.0,1.82425,106026538,106.026538,89.14
128,1.0,3217226.0,3.217226,185408906,185.408906,89.83
160,0.25,215642.0,0.215642,20811242,20.811242,88.66
160,0.5,823722.0,0.823722,76028874,76.028874,89.68
160,0.75,1824250.0,1.82425,165652906,165.652906,90.64
160,1.0,3217226.0,3.217226,289683338,289.683338,90.92
192,0.25,215642.0,0.215642,29964650,29.96465,88.81
192,0.5,823722.0,0.823722,109474506,109.474506,89.83
192,0.75,1824250.0,1.82425,238529578,238.529578,91.08
192,1.0,3217226.0,3.217226,417129866,417.129866,91.64
224,0.25,215642.0,0.215642,40782314,40.782314,88.96
224,0.5,823722.0,0.823722,149001162,149.001162,90.75
224,0.75,1824250.0,1.82425,324656554,324.656554,91.23
224,1.0,3217226.0,3.217226,567748490,567.74849,92.33
