epoch,train_loss,val_loss,val_accuracy
1,2.0643,2.0706,28.92
2,1.6789,1.598,45.15
3,1.4724,1.5841,47.62
4,1.32,1.2873,56.89
5,1.1416,1.583,52.92
6,1.0161,1.2214,59.31
7,0.8939,1.1227,64.13
8,0.7983,1.4765,57.94
9,0.7205,1.3367,59.24
10,0.6216,1.2735,62.39
11,0.5441,1.8487,53.94
12,0.2975,1.0061,70.09
13,0.1925,1.0359,69.94
14,0.1462,1.0822,69.48
15,0.1167,1.0977,69.45
16,0.0927,1.1506,69.27
17,0.073,1.1444,69.43
18,0.0705,1.1379,69.1
19,0.0686,1.1497,69.04
20,0.0698,1.1538,68.82
21,0.0644,1.1502,68.94
22,0.0662,1.1503,69.07
23,0.0646,1.1537,69.15
24,0.0653,1.1486,69.1
25,0.0656,1.1593,68.99
26,0.0637,1.1536,68.94
27,0.0639,1.1519,69.22
28,0.0659,1.1588,69.2
29,0.0646,1.1549,68.87
30,0.0666,1.1536,69.43
31,0.0647,1.1566,69.02
32,0.0655,1.1485,69.2
33,0.0651,1.1502,69.12
34,0.0652,1.1535,69.22
35,0.0656,1.1579,69.07
36,0.0643,1.1546,69.27
37,0.0658,1.158,68.97
38,0.0648,1.1503,68.97
39,0.0657,1.1527,68.87
40,0.066,1.1549,68.97
41,0.0662,1.1526,69.12
42,0.0649,1.1555,68.94
43,0.0647,1.1587,68.92
44,0.0632,1.154,69.07
45,0.0647,1.1511,68.94
46,0.0641,1.1511,69.15
47,0.065,1.1524,68.99
48,0.0639,1.1526,68.89
49,0.063,1.153,69.02
50,0.0663,1.1584,69.15
